bi_reference,year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,sector,time_taken_to_report
BI69151,2025,Qtr 2,Patients,Official documents,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI69154,2025,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,24 hours to 72 hours
BI69154,2025,Qtr 2,Vulnerable adults,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,24 hours to 72 hours
BI69158,2025,Qtr 2,Customers or prospective customers,Unknown,Informal Action Taken,Cyber,Phishing,100 to 1k,Health,72 hours to 1 week
BI69170,2025,Qtr 2,Unknown,Basic personal identifiers,Not Yet Assigned,Non Cyber,Hardware/software misconfiguration,10k to 100k,Health,24 hours to 72 hours
BI69170,2025,Qtr 2,Unknown,Location data,Not Yet Assigned,Non Cyber,Hardware/software misconfiguration,10k to 100k,Health,24 hours to 72 hours
BI69171,2025,Qtr 2,Students,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,72 hours to 1 week
BI69173,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI69173,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI69174,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI69174,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI69177,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI69177,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI69179,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,More than 1 week
BI69179,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,More than 1 week
BI69197,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI69197,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI69198,2025,Qtr 2,Patients,Basic personal identifiers,Not Yet Assigned,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI69198,2025,Qtr 2,Patients,Health data,Not Yet Assigned,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI69205,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,24 hours to 72 hours
BI69213,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Not Provided,1 to 9,Health,More than 1 week
BI69216,2025,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,More than 1 week
BI69216,2025,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,More than 1 week
BI69221,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,Less than 24 hours
BI69221,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,Less than 24 hours
BI69221,2025,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,Less than 24 hours
BI69221,2025,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,Less than 24 hours
BI69230,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,Health,24 hours to 72 hours
BI69230,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,Health,24 hours to 72 hours
BI69230,2025,Qtr 2,Patients,Location data,Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,Health,24 hours to 72 hours
BI69244,2025,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI69244,2025,Qtr 2,Vulnerable adults,Economic and financial data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI69244,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI69244,2025,Qtr 2,Patients,Economic and financial data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI69249,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI69249,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI69260,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI69260,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
