bi_reference,year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,sector,time_taken_to_report
BI24632,2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI24632,2021,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI24635,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24635,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24635,2021,Qtr 2,Patients,Location data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24639,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24639,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24643,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,Less than 24 hours
BI24643,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,Less than 24 hours
BI24650,2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI24659,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Not Provided,Unknown,Health,Less than 24 hours
BI24660,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI24660,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI24660,2021,Qtr 2,Patients,Sex life data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI24665,2021,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1k to 10k,Health,Less than 24 hours
BI24665,2021,Qtr 2,Employees,Economic and financial data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1k to 10k,Health,Less than 24 hours
BI24676,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Health,Less than 24 hours
BI24677,2021,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Not Provided,100 to 1k,Health,72 hours to 1 week
BI24677,2021,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Not Provided,100 to 1k,Health,72 hours to 1 week
BI24690,2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1k to 10k,Health,Less than 24 hours
BI24696,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,Less than 24 hours
BI24710,2021,Qtr 2,Users,Unknown,Investigation Pursued,Cyber,Ransomware,1k to 10k,Health,Less than 24 hours
BI24710,2021,Qtr 2,Subscribers,Unknown,Investigation Pursued,Cyber,Ransomware,1k to 10k,Health,Less than 24 hours
BI24710,2021,Qtr 2,Employees,Unknown,Investigation Pursued,Cyber,Ransomware,1k to 10k,Health,Less than 24 hours
BI24710,2021,Qtr 2,Customers or prospective customers,Unknown,Investigation Pursued,Cyber,Ransomware,1k to 10k,Health,Less than 24 hours
BI24723,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Not Provided,Unknown,Health,Less than 24 hours
BI24727,2021,Qtr 2,Users,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI24727,2021,Qtr 2,Users,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI24741,2021,Qtr 2,Unknown,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,100 to 1k,Health,More than 1 week
BI24749,2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,Less than 24 hours
BI24754,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24754,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24759,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI24759,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI24760,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Cyber,Phishing,Unknown,Health,Less than 24 hours
BI24762,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,24 hours to 72 hours
BI24762,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,24 hours to 72 hours
BI24768,2021,Qtr 2,Employees,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI24774,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI24774,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI24774,2021,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI24774,2021,Qtr 2,Children,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI24779,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,Less than 24 hours
BI24780,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,Less than 24 hours
BI24785,2021,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI24797,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI24800,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,10 to 99,Health,24 hours to 72 hours
BI24803,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,More than 1 week
BI24804,2021,Qtr 2,Customers or prospective customers,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,24 hours to 72 hours
BI24804,2021,Qtr 2,Customers or prospective customers,Economic and financial data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,24 hours to 72 hours
BI24805,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI24805,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI24807,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,Unknown,Health,Less than 24 hours
BI24812,2021,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24812,2021,Qtr 2,Employees,Location data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24816,2021,Qtr 2,Unknown,Unknown,No Further Action,Non Cyber,Other non-cyber incident,10k to 100k,Health,More than 1 week
BI24819,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,More than 1 week
BI24819,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,More than 1 week
BI24822,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24822,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24828,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,100 to 1k,Health,Less than 24 hours
BI24835,2021,Qtr 2,Employees,Economic and financial data,Investigation Pursued,Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI24835,2021,Qtr 2,Employees,Identification data,Investigation Pursued,Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI24835,2021,Qtr 2,Employees,Trade union membership,Investigation Pursued,Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI24835,2021,Qtr 2,Customers or prospective customers,Economic and financial data,Investigation Pursued,Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI24835,2021,Qtr 2,Customers or prospective customers,Identification data,Investigation Pursued,Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI24835,2021,Qtr 2,Customers or prospective customers,Trade union membership,Investigation Pursued,Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI24837,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,Unknown,Health,Less than 24 hours
BI24845,2021,Qtr 2,Employees,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI24846,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,Unknown,Health,Less than 24 hours
BI24862,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,72 hours to 1 week
BI24868,2021,Qtr 2,Patients,Basic personal identifiers,Investigation Pursued,Cyber,Phishing,Unknown,Health,More than 1 week
BI24868,2021,Qtr 2,Patients,Health data,Investigation Pursued,Cyber,Phishing,Unknown,Health,More than 1 week
BI24868,2021,Qtr 2,Employees,Basic personal identifiers,Investigation Pursued,Cyber,Phishing,Unknown,Health,More than 1 week
BI24868,2021,Qtr 2,Employees,Health data,Investigation Pursued,Cyber,Phishing,Unknown,Health,More than 1 week
BI24868,2021,Qtr 2,Customers or prospective customers,Basic personal identifiers,Investigation Pursued,Cyber,Phishing,Unknown,Health,More than 1 week
BI24868,2021,Qtr 2,Customers or prospective customers,Health data,Investigation Pursued,Cyber,Phishing,Unknown,Health,More than 1 week
BI24870,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,Health,72 hours to 1 week
BI24870,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,Health,72 hours to 1 week
BI24882,2021,Qtr 2,Patients,Basic personal identifiers,Investigation Pursued,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI24882,2021,Qtr 2,Patients,Health data,Investigation Pursued,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI24882,2021,Qtr 2,Patients,Location data,Investigation Pursued,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI24885,2021,Qtr 2,Vulnerable adults,Basic personal identifiers,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24885,2021,Qtr 2,Vulnerable adults,Identification data,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24885,2021,Qtr 2,Users,Basic personal identifiers,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24885,2021,Qtr 2,Users,Identification data,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24885,2021,Qtr 2,Employees,Basic personal identifiers,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24885,2021,Qtr 2,Employees,Identification data,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24885,2021,Qtr 2,Customers or prospective customers,Basic personal identifiers,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24885,2021,Qtr 2,Customers or prospective customers,Identification data,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24885,2021,Qtr 2,Children,Basic personal identifiers,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24885,2021,Qtr 2,Children,Identification data,No Further Action,Cyber,Brute Force,Unknown,Health,More than 1 week
BI24886,2021,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to redact,Unknown,Health,More than 1 week
BI24886,2021,Qtr 2,Vulnerable adults,Health data,Informal Action Taken,Non Cyber,Failure to redact,Unknown,Health,More than 1 week
BI24886,2021,Qtr 2,Users,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to redact,Unknown,Health,More than 1 week
BI24886,2021,Qtr 2,Users,Health data,Informal Action Taken,Non Cyber,Failure to redact,Unknown,Health,More than 1 week
BI24888,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,Unknown,Health,More than 1 week
BI24895,2021,Qtr 2,Customers or prospective customers,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24895,2021,Qtr 2,Customers or prospective customers,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24913,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,Less than 24 hours
BI24915,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI24915,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI24923,2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI24923,2021,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI24927,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI24927,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI24927,2021,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI24927,2021,Qtr 2,Children,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI24928,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Not Provided,1 to 9,Health,More than 1 week
BI24928,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Not Provided,1 to 9,Health,More than 1 week
BI24938,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI24938,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI24944,2021,Qtr 2,Patients,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24944,2021,Qtr 2,Patients,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24944,2021,Qtr 2,Patients,Health data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24944,2021,Qtr 2,Patients,Sex life data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24944,2021,Qtr 2,Patients,Sexual orientation data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24947,2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24947,2021,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24948,2021,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1k to 10k,Health,Less than 24 hours
BI24955,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of device containing personal data,1 to 9,Health,Less than 24 hours
BI24969,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,72 hours to 1 week
BI24975,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10k to 100k,Health,24 hours to 72 hours
BI24975,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10k to 100k,Health,24 hours to 72 hours
BI24979,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,Less than 24 hours
BI24983,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,Unknown,Health,24 hours to 72 hours
BI24985,2021,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI24985,2021,Qtr 2,Vulnerable adults,Location data,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI24985,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI24985,2021,Qtr 2,Patients,Location data,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI24999,2021,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Loss/theft of device containing personal data,10k to 100k,Health,Less than 24 hours
BI25002,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI25024,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI25024,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI25027,2021,Qtr 2,Students,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI25031,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI25031,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI25043,2021,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI25044,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Health,Less than 24 hours
BI25048,2021,Qtr 2,Employees,Criminal convictions or offences,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,Less than 24 hours
BI25048,2021,Qtr 2,Customers or prospective customers,Criminal convictions or offences,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,Less than 24 hours
BI25056,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25056,2021,Qtr 2,Patients,Economic and financial data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25056,2021,Qtr 2,Patients,Official documents,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25056,2021,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25056,2021,Qtr 2,Employees,Economic and financial data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25056,2021,Qtr 2,Employees,Official documents,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25063,2021,Qtr 2,Patients,Unknown,No Further Action,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25065,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI25065,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI25066,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,Less than 24 hours
BI25068,2021,Qtr 2,Unknown,Unknown,Investigation Pursued,Non Cyber,Unauthorised access,Unknown,Health,Less than 24 hours
BI25071,2021,Qtr 2,Unknown,Unknown,No Further Action,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI25072,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,100 to 1k,Health,More than 1 week
BI25076,2021,Qtr 2,Employees,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,Less than 24 hours
BI25081,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25081,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25081,2021,Qtr 2,Patients,Location data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25081,2021,Qtr 2,Patients,Sex life data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI25084,2021,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,More than 1 week
BI25089,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,More than 1 week
BI25091,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI25091,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI25094,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,More than 1 week
BI25096,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Incorrect disposal of paperwork,10 to 99,Health,24 hours to 72 hours
BI25096,2021,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Incorrect disposal of paperwork,10 to 99,Health,24 hours to 72 hours
BI25098,2021,Qtr 2,Patients,Basic personal identifiers,No Further Action,Cyber,Other cyber incident,Unknown,Health,More than 1 week
BI25098,2021,Qtr 2,Patients,Health data,No Further Action,Cyber,Other cyber incident,Unknown,Health,More than 1 week
BI25098,2021,Qtr 2,Employees,Basic personal identifiers,No Further Action,Cyber,Other cyber incident,Unknown,Health,More than 1 week
BI25098,2021,Qtr 2,Employees,Health data,No Further Action,Cyber,Other cyber incident,Unknown,Health,More than 1 week
BI25107,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,Unknown,Health,Less than 24 hours
BI25110,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Not Provided,Unknown,Health,Less than 24 hours
BI25115,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,Unknown,Health,Less than 24 hours
BI25124,2021,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,Less than 24 hours
BI25124,2021,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,Less than 24 hours
BI25125,2021,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI25125,2021,Qtr 2,Vulnerable adults,Economic and financial data,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI25125,2021,Qtr 2,Vulnerable adults,Health data,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI25125,2021,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI25125,2021,Qtr 2,Children,Economic and financial data,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI25125,2021,Qtr 2,Children,Health data,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,24 hours to 72 hours
BI25141,2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI25141,2021,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI25143,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Health,Less than 24 hours
BI25145,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI25145,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI25151,2021,Qtr 2,Patients,Unknown,No Further Action,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI25159,2021,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI25162,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI25162,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI25171,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI25171,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI25173,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI25173,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
